"Genus_species","Order","Philopatry","SexComposition","Sex_Dim","Food_resource_defendable","coalitions","Male mass (kg)","Female mass (kg)","freq.males","freq.females"
"Alouatta_palliata","Primata","N","mixed",1.32,0,"Both",6.96,5.28,1,1
"Alouatta_seniculus","Primata",NA,"mixed",1.29,0,"Both",6.66,5.18,1,1
"Ateles_geoffroyi","Primata","M","mixed",0.974496644295302,1,"Males",7.45,7.64,2,0
"Canis_lupus","Carnivora","F","mixed",1.3,1,"Both",NA,NA,2,2
"Cebus_capucinus","Primata","F","mixed",1.45,0,"Both",3.68,2.54,2,2
"Cebus_olivaceus","Primata","F","mixed",1.29,0,"Both",3.24,2.52,0,1
"Cercocebus_torquatus","Primata","F","mixed",1.72,1,"Both",9.47,5.5,1,2
"Chlorocebus_pygerythrus","Primata","F","mixed",1.44,0,"Both",4.28,2.98,1,2
"Colobus_vellerosus","Primata","F","mixed",1.23,0,"Both",8.5,6.9,2,1
"Crocuta_crocuta","Carnivora","F","mixed",0.86530612244898,1,"Both",49,55.6,2,2
"Dama_dama","Artiodactyla","N","segregated",1.52,0,"Males",67,44,2,0
"Equus_quagga","Perissodactyla","N","mixed",1.03,0,"Both",NA,NA,1,1
"Equus_caballus","Perissodactyla","N","mixed",1,0,"Both",NA,NA,2,2
"Equus_ferus","Perissodactyla","N","mixed",1.03,0,"Both",NA,NA,1,1
"Eulemur_fulvus","Primata","F","mixed",0.897435897435897,0,"Both",1.95,2.15,2,2
"Gorilla_beringei","Primata","N","mixed",1.67,0,"Both",162.5,97.5,2,1
"Gorilla_gorilla","Primata","N","mixed",2.24,0,"Both",169.3,75.7,2,2
"Helogale_parvula","Carnivora","N","mixed",1,0,"Both",NA,NA,1,1
"Lemur_catta","Primata","F","mixed",1,0,"Both",2.21,2.21,1,2
"Lophocebus_albigena","Primata","F","mixed",1.31,1,"Both",7.89,6.01,1,1
"Loxodonta_africana","Proboscidea","F","segregated",1.93,0,"Females",5300,2750,0,2
"Lycaon_pictus","Carnivora","N","mixed",1,1,"Both",24,24,1,1
"Macaca_arctoides","Primata","F","mixed",1.45,0,"Both",12.2,8.4,2,2
"Macaca_assamensis","Primata","F","mixed",1.69,1,"Both",11.3,6.7,2,2
"Macaca_fascicularis","Primata","F","mixed",1.51,1,"Both",4.85,3.22,1,2
"Macaca_fuscata","Primata","F","mixed",1.37,0,"Both",10.97,8.03,2,2
"Macaca_mulatta","Primata","F","mixed",1.41,0,"Both",6.99,4.94,2,2
"Macaca_nemestrina","Primata","F","mixed",1.7,1,"Both",11.2,6.59,1,1
"Macaca_nigra","Primata","F","mixed",1.81,1,"Both",9.89,5.47,2,2
"Macaca_radiata","Primata","F","mixed",1.79,1,"Both",6.6,3.69,2,1
"Macaca_sylvanus","Primata","F","mixed",1.45,0,"Both",16,11,2,2
"Macaca_thibetana","Primata","F","mixed",1.4296875,1,"Both",18.3,12.8,2,2
"Macaca_tonkeana","Primata","F","mixed",1.66,1,"Both",14.9,9,1,1
"Mandrillus_sphinx","Primata","F","mixed",2.69,0,"Both",34.4,12.8,2,2
"Mungos_mungo","Carnivora","B","mixed",1.03,0,"Both",NA,NA,2,2
"Nasua_narica","Carnivora","F","mixed",1,0,"Both",NA,NA,2,2
"Nasua_nasua","Carnivora","F","mixed",1.2,0,"Females",4.8,4,0,2
"Ovis_aries","Artiodactyla","F","segregated",1.42,0,"Males",NA,NA,1,0
"Ovis_canadensis","Artiodactyla","F","segregated",1.52,0,"Males",98.5,65,1,0
"Pan_paniscus","Primata","M","mixed",1.36,0,"Both",45,33.2,2,2
"Pan_troglodytes","Primata","M","mixed",1.27,0,"Both",60,47.4,2,2
"Panthera_leo","Carnivora","F","mixed",1.28,1,"Females",195,152,0,1
"Papio_anubis","Primata","F","mixed",1.73,0,"Both",21.1,12.2,1,1
"Papio_cynocephalus","Primata","F","mixed",1.77,0,"Both",21.8,12.3,2,2
"Papio_hamadryas","Primata","F","mixed",1.71,0,"Both",16.9,9.9,1,1
"Papio_papio","Primata","B","mixed",1.92,0,"Both",23,12,1,2
"Papio_ursinus","Primata","F","mixed",2.01,0,"Females",29.8,14.8,0,2
"Rhinopithecus_roxellana","Primata","N","mixed",1.54,0,"Males",17.9,11.6,1,0
"Saimiri_boliviensis","Primata","F","mixed",1.36,0,"Both",1.02,0.75,1,1
"Saimiri_oerstedii","Primata","M","mixed",1.32,0,"Both",0.897,0.68,1,1
"Saimiri_sciureus","Primata","F","mixed",1.272475795,0,"Females",0.92,0.723,0,1
"Sapajus_apella","Primata","F","mixed",1.52,0,"Both",3.64,2.39,2,2
"Semnopithecus_entellus","Primata","F","mixed",1.31,0,"Both",13,9.89,1,1
"Stenella_longirostris","Artiodactyla","B","mixed",1.07,0,"Males",NA,NA,1,0
"Tayassu_pecari","Artiodactyla","N","mixed",1,0,"Both",NA,NA,1,1
"Theropithecus_gelada","Primata","F","mixed",1.62,0,"Both",19,11.7,1,2
"Tursiops_aduncus","Artiodactyla","B","mixed",1.2,0,"Males",253,210,2,0
"Tursiops_truncatus","Artiodactyla","B","mixed",1.2,0,"Males",253,210,2,0
